Date,Label,1,2,3,4,5,6,7,8,9,10,top1,top2,top3,top4,top5,top6,top7,top8
2018-03-22,0,[-1.8599850000000515],[-1.2900389999999788],[-20.190063999999893],[-18.41003499999988],[-0.38000499999998283],[4.280029000000013],[-31.82995600000004],[0.6500240000000304],[24.04003899999998],[10.680053999999927],chatting up the google assistant,,,,,,,
2018-03-23,0,[-32.800048999999944],[-1.8599850000000515],[-1.2900389999999788],[-20.190063999999893],[-18.41003499999988],[-0.38000499999998283],[4.280029000000013],[-31.82995600000004],[0.6500240000000304],[24.04003899999998],,,,,,,,
2018-03-26,1,[-25.46002199999998],[-32.800048999999944],[-1.8599850000000515],[-1.2900389999999788],[-20.190063999999893],[-18.41003499999988],[-0.38000499999998283],[4.280029000000013],[-31.82995600000004],[0.6500240000000304],,,,,,,,
2018-03-27,0,[7.209961000000021],[-25.46002199999998],[-32.800048999999944],[-1.8599850000000515],[-1.2900389999999788],[-20.190063999999893],[-18.41003499999988],[-0.38000499999998283],[4.280029000000013],[-31.82995600000004],"waymo, a google spinoff, ramps up its driverless-car effort",apple unveils new ipad to catch google in the classroom,,,,,,
2018-03-28,1,[-57.90002400000003],[7.209961000000021],[-25.46002199999998],[-32.800048999999944],[-1.8599850000000515],[-1.2900389999999788],[-20.190063999999893],[-18.41003499999988],[-0.38000499999998283],[4.280029000000013],,,,,,,,
2018-03-29,1,[6.559998000000064],[-57.90002400000003],[7.209961000000021],[-25.46002199999998],[-32.800048999999944],[-1.8599850000000515],[-1.2900389999999788],[-20.190063999999893],[-18.41003499999988],[-0.38000499999998283],,,,,,,,
2018-04-02,0,[],[20.160033999999882],[6.559998000000064],[-57.90002400000003],[7.209961000000021],[-25.46002199999998],[-32.800048999999944],[-1.8599850000000515],[-1.2900389999999788],[-20.190063999999893],,,,,,,,
2018-04-03,0,[-16.350035999999932],[],[20.160033999999882],[6.559998000000064],[-57.90002400000003],[7.209961000000021],[-25.46002199999998],[-32.800048999999944],[-1.8599850000000515],[-1.2900389999999788],apple hires google’s a.i. chief,,,,,,,
2018-04-04,1,[-0.5],[-16.350035999999932],[],[20.160033999999882],[6.559998000000064],[-57.90002400000003],[7.209961000000021],[-25.46002199999998],[-32.800048999999944],[-1.8599850000000515],‘the business of war’: google employees protest work for the pentagon,,,,,,,
2018-04-05,0,[31.730041999999912],[-0.5],[-16.350035999999932],[],[20.160033999999882],[6.559998000000064],[-57.90002400000003],[7.209961000000021],[-25.46002199999998],[-32.800048999999944],,,,,,,,
2018-04-06,0,[-13.519897000000128],[31.730041999999912],[-0.5],[-16.350035999999932],[],[20.160033999999882],[6.559998000000064],[-57.90002400000003],[7.209961000000021],[-25.46002199999998],,,,,,,,
2018-04-09,0,[-12.960022000000095],[-13.519897000000128],[31.730041999999912],[-0.5],[-16.350035999999932],[],[20.160033999999882],[6.559998000000064],[-57.90002400000003],[7.209961000000021],,,,,,,,
2018-04-10,1,[-1.349976000000197],[-12.960022000000095],[-13.519897000000128],[31.730041999999912],[-0.5],[-16.350035999999932],[],[20.160033999999882],[6.559998000000064],[-57.90002400000003],,,,,,,,
2018-04-11,0,[5.200073999999859],[-1.349976000000197],[-12.960022000000095],[-13.519897000000128],[31.730041999999912],[-0.5],[-16.350035999999932],[],[20.160033999999882],[6.559998000000064],,,,,,,,
2018-04-12,1,[-8.020018999999934],[5.200073999999859],[-1.349976000000197],[-12.960022000000095],[-13.519897000000128],[31.730041999999912],[-0.5],[-16.350035999999932],[],[20.160033999999882],,,,,,,,
