Date,Label,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,top21,top22,top23,top24
2020-10-06,0,"dell technologies (dell) has risen 35% in last one year, outperforms market","dell updates its ultrasharp monitor lineup: usb-c, mini-led backlighting, and more","dell&quot;s first pro 2,000-zone mini-led monitor joins fall monitor lineup     - cnet",,,,,,,,,,,,,,,,,,,,,
2020-10-07,0,"sdn market leaders include cisco, dell, hpe, ibm",,,,,,,,,,,,,,,,,,,,,,,
2020-10-08,1,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-09,0,"early prime day laptop deals: save on these asus, dell and samsung models now     - cnet","thomas w. sweet sells 100,000 shares of dell inc. (nyse:dell) stock",dell inc. (nyse:dell) shares bought by creative financial designs inc. adv,,,,,,,,,,,,,,,,,,,,,
2020-10-12,1,dell (nyse:dell) hits new 12-month high at $69.49,dell stock looks like a bargain compared to apple,"3,248 shares in dell inc. (nyse:dell) bought by first hawaiian bank","dell inc. (nyse:dell) insider sells $8,474,827.26 in stock",,,,,,,,,,,,,,,,,,,,
2020-10-13,1,"oh! what a lovely lockdown: lenovo enjoys soaraway sales for q3 2020 as pc shipments jump - dell, not so much",redpoint investment management pty ltd cuts stake in dell inc. (nyse:dell),dell&quot;s digital transformation index shows turbulence ahead,global pandemic accelerates digital transformation according to latest study from dell technologies,,,,,,,,,,,,,,,,,,,,
2020-10-14,0,"minot wealth management llc makes new $223,000 investment in dell inc. (nyse:dell)",dell (nyse:dell) given new $82.00 price target at morgan stanley,,,,,,,,,,,,,,,,,,,,,,
2020-10-15,1,"dell&quot;s black friday sneak peek sale: save $300 on an alienware m15 laptop, $400 on xps desktop     - cnet","dell reveals black friday, cyber monday deals weeks ahead of schedule",dell technologies brings added convenience and flexibility to the holiday shopping season,dell teams up with cit for artificial intelligence platform,morgan stanley boosts dell (nyse:dell) price target to $82.00,,,,,,,,,,,,,,,,,,,
2020-10-16,0,dell missed out on the pc sales boom -- again,,,,,,,,,,,,,,,,,,,,,,,
2020-10-19,0,dell inc. (nyse:dell) shares sold by highland capital management llc,"dell inc. (nyse:dell) general counsel sells $4,505,359.34 in stock",,,,,,,,,,,,,,,,,,,,,,
