Date,Label,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,top21,top22,top23,top24
2020-01-02,1,need a laptop? this dell inspiron 11 3200 2-in-1 is $157 off     - cnet,dell launches new xps 13 laptops,dell to let apple users control iphones from their laptop,"dell xps 13 gets a bigger screen, while its latitude 9510 laptop claims 30-hour battery life     - cnet","dell technologies launches new era of pcs and displays with 5g, ai and premium design for work and play","richard j. rothberg sells 141,454 shares of dell inc. (nyse:dell) stock",,,,,,,,,,,,,,,,,,
2020-01-03,0,dell to let users mirror iphone&quot;s screen on their laptops,dell&quot;s upcoming xps 13 linux laptop includes a highly requested new feature,,,,,,,,,,,,,,,,,,,,,,
2020-01-06,1,dell (dell) expands offerings with new products &amp; software,,,,,,,,,,,,,,,,,,,,,,,
2020-01-07,0,at ces 2020 lenovo and dell point to new foldable devices possibly coming to market later this year,,,,,,,,,,,,,,,,,,,,,,,
2020-01-08,1,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-09,0,"dell technologies moves up in market cap rank, passing universal health services","dell inc. (nyse:dell) insider steven h. price sells 136,666 shares","steven h. price sells 136,666 shares of dell inc. (nyse:dell) stock",,,,,,,,,,,,,,,,,,,,,
2020-01-10,0,dell june 19th options begin trading,,,,,,,,,,,,,,,,,,,,,,,
2020-01-13,1,dell inc. (nyse:dell) stake lessened by boston trust walden corp,boston trust walden corp lowers stake in dell inc. (nyse:dell),"insider selling: dell inc. (nyse:dell) cfo sells $4,874,950.00 in stock",,,,,,,,,,,,,,,,,,,,,
2020-01-14,1,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-15,0,"johanson financial advisors inc. acquires shares of 116,912 dell inc. (nyse:dell)",,,,,,,,,,,,,,,,,,,,,,,
2020-01-16,1,dell (nyse:dell) downgraded to sell at valuengine,,,,,,,,,,,,,,,,,,,,,,,
2020-01-17,0,ingalls & snyder llc sells 311 shares of dell inc. (nyse:dell),,,,,,,,,,,,,,,,,,,,,,,
2020-01-21,0,how dell transformed into an end-to-end enterprise player,,,,,,,,,,,,,,,,,,,,,,,
2020-01-22,1,dell inc. (nyse:dell) shares purchased by wedbush securities inc.,,,,,,,,,,,,,,,,,,,,,,,
2020-01-23,1,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-24,0,bear of the day: dell technologies (dell),,,,,,,,,,,,,,,,,,,,,,,
2020-01-27,0,"arista beats dell, cisco, gigamon and juniper to buy big switch networks",extremely positive media coverage extremely unlikely to affect dell (nyse:dell) share price,dell (nyse:dell) receives daily news impact rating of 5.00,,,,,,,,,,,,,,,,,,,,,
2020-01-28,1,douglas lane & associates llc reduces stock position in dell inc. (nyse:dell),"microsoft, dell donate to fight coronavirus outbreak",dell (nyse:dell) upgraded to hold at valuengine,,,,,,,,,,,,,,,,,,,,,
2020-01-29,1,best buy flash sale: 4 great deals from hp and dell     - cnet,"dell (nyse:dell) raised to ""hold"" at valuengine",dowling & yahnke llc trims stock holdings in dell inc. (nyse:dell),,,,,,,,,,,,,,,,,,,,,
2020-01-30,1,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-31,0,reach out and touch a dell xps 13 for just $784     - cnet,,,,,,,,,,,,,,,,,,,,,,,
2020-02-03,1,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-04,1,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-05,0,"janney montgomery scott llc has $583,000 position in dell inc. (nyse:dell)",,,,,,,,,,,,,,,,,,,,,,,
2020-02-06,1,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-07,0,"acr alpine capital research llc purchases 38,517 shares of dell inc. (nyse:dell)",,,,,,,,,,,,,,,,,,,,,,,
2020-02-10,1,"dell, hpe targets trimmed on compute headwinds",,,,,,,,,,,,,,,,,,,,,,,
2020-02-11,1,"children&quot;s hospital set for $300m-plus expansion with huge gift from michael, susan dell",,,,,,,,,,,,,,,,,,,,,,,
2020-02-12,1,"notable wednesday option activity: dell, ntnx, cf",,,,,,,,,,,,,,,,,,,,,,,
2020-02-13,1,"the best presidents day deals: laptops from lenovo and dell, mattresses, vacuums and more     - cnet",bt adds dell&quot;s ucpe line to its dynamic network services,dell technologies to hold conference call february 27 to discuss fourth quarter and year-end fiscal 2020 financial results,bt expands its dynamic network services with dell technologies&quot; onsite platforms for more agile operations,,,,,,,,,,,,,,,,,,,,
2020-02-14,0,"dell presidents day sale: save on inspiron, xps and alienware laptops and pcs     - cnet","aigen investment management lp makes new $227,000 investment in dell inc. (nyse:dell)",,,,,,,,,,,,,,,,,,,,,,
2020-02-18,1,orange business services tunes up new ucpe platform with dell technologies and ekinops,dell closes deal to sell rsa security to private equity firm stg partners for $2b,dell&quot;s deal to sell rsa to investor group is confirmed,dell sells rsa for $2.08b,dell to sell cybersecurity unit for $2.08 billion,dell to sell cybersecurity unit for $2.08 bln,symphony technology group enters definitive agreement with dell technologies to acquire rsa,dell close to deal to sell rsa for $2 billion--wsj,"stocks to watch: apple, legg mason, gilead sciences, dell",dell is expected to announce rsa security business sale on tuesday,dell close to selling rsa security for $2b,dell nears deal to sell rsa security business to private-equity firm stg,,,,,,,,,,,,
2020-02-19,1,dell to sell security business rsa for nearly $2.1b,palo alto private equity firm buys rsa security business from dell for $2.1b,dell sells rsa for $2b to streamline portfolio,dell technologies to present at investor conference in march,dell sells bedford-based cybersecurity business for $2b,dell inc. (nyse:dell) shares bought by candriam luxembourg s.c.a.,,,,,,,,,,,,,,,,,,
2020-02-20,0,dell to sell security business rsa for nearly $2.1b,great diamond partners llc buys new shares in dell inc. (nyse:dell),dell (dell) scheduled to post earnings on thursday,,,,,,,,,,,,,,,,,,,,,
2020-02-21,0,dell technologies and orange deliver the power of 5g,,,,,,,,,,,,,,,,,,,,,,,
2020-02-24,0,"wwt, dell open center of excellence, target edge computing, iot",lingohr & partner asset management gmbh makes new investment in dell inc. (nyse:dell),charles schwab investment management inc. raises holdings in dell inc. (nyse:dell),,,,,,,,,,,,,,,,,,,,,
2020-02-25,0,what&quot;s in store for dell technologies&quot; (dell) q4 earnings?,dell technologies to provide industry&quot;s fastest hybrid cloud deployment,dell inc. (nyse:dell) shares purchased by cetera advisors llc,andra ap fonden has $4.87 million position in dell inc. (nyse:dell),dell (nyse:dell) trading down 6.6%,,,,,,,,,,,,,,,,,,,
2020-02-26,0,dell technologies q4 2020 earnings preview,martin dell named general manager for the four seasons hotel prague,dell co-leads $60m investment in silicon valley&quot;s newest tech unicorn,arp americas lp makes new investment in dell inc. (nyse:dell),accident compensation corp has $1.76 million holdings in dell inc. (nyse:dell),,,,,,,,,,,,,,,,,,,
2020-02-27,0,dell stock declines after in-line earnings,"dell -1.5% after in-line eps, $1b buyback",dell&quot;s data center business drags on fourth quarter revenue,dell&#39;s data center business drags on fourth-quarter revenue,dell&quot;s data center business drags on fourth-quarter revenue,dell technologies reports fiscal year 2020 fourth quarter and full year financial results,"notable thursday option activity: uri, apa, dell",dell (nyse:dell) sets new 52-week low after analyst downgrade,,,,,,,,,,,,,,,,
2020-02-28,0,dell technologies inc. 2020 q4 - results - earnings call presentation,dell technologies (dell) q4 earnings &amp; revenues rise q/q,morgan stanley lowers dell (nyse:dell) price target to $63.00,raymond james lowers dell (nyse:dell) price target to $55.00,dell (nyse:dell) sets new 52-week low on analyst downgrade,"dell technologies, inc. (dell) on q4 2020 results - earnings call transcript",marketwatch first take: dell counting on server rebound to make up for expected pc slowdown,,,,,,,,,,,,,,,,,
2020-03-02,1,dell technologies and vmware: what drove the big sell-off post earnings,,,,,,,,,,,,,,,,,,,,,,,
2020-03-03,0,"barclays reiterates ""hold"" rating for dell (nyse:dell)",,,,,,,,,,,,,,,,,,,,,,,
2020-03-04,1,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05,0,bnp paribas asset management holding s.a. decreases stock holdings in dell inc. (nyse:dell),dell technologies: why the market is not buying a sotp argument - a different route to 100% upside,dell technologies: why the market is not buying a sotp argument - a different route to 100% upside - behind the idea,,,,,,,,,,,,,,,,,,,,,
2020-03-06,1,"cutter & co brokerage inc. acquires shares of 10,184 dell inc. (nyse:dell)",,,,,,,,,,,,,,,,,,,,,,,
2020-03-09,0,"with sxsw canceled, what&quot;s the status of dell match play?",fmr llc decreases stake in dell inc. (nyse:dell),"insider selling: dell inc. (nyse:dell) coo sells 55,433 shares of stock",,,,,,,,,,,,,,,,,,,,,
2020-03-10,1,"dell inc. (nyse:dell) receives consensus rating of ""hold"" from brokerages",dell (nyse:dell)  shares down 8.5%  on insider selling,,,,,,,,,,,,,,,,,,,,,,
2020-03-11,0,is dell technologies inc. (dell) going to burn these hedge funds ?,"4,973 shares in dell inc. (nyse:dell) acquired by l2 asset management llc","dell inc. (nyse:dell) coo jeffrey w. clarke sells 57,073 shares of stock","atria investments llc has $656,000 stock holdings in dell inc. (nyse:dell)",,,,,,,,,,,,,,,,,,,,
2020-03-12,0,"dell technologies research: cyber attacks and disruptive events are on the rise, affecting 82% of organizations surveyed",,,,,,,,,,,,,,,,,,,,,,,
2020-03-13,1,dell inc. (nyse:dell) receives $58.20 consensus pt from brokerages,,,,,,,,,,,,,,,,,,,,,,,
2020-03-16,1,"pictet asset management ltd. acquires 28,965 shares of dell inc. (nyse:dell)","td asset management inc. makes new $701,000 investment in dell inc. (nyse:dell)",credit suisse ag increases stock position in dell inc. (nyse:dell),,,,,,,,,,,,,,,,,,,,,
2020-03-17,0,"meeder asset management inc. acquires 5,848 shares of dell inc. (nyse:dell)",dell inc. (nyse:dell) shares sold by british columbia investment management corp,"raymond james & associates sells 33,990 shares of dell inc. (nyse:dell)",,,,,,,,,,,,,,,,,,,,,
2020-03-18,0,"5,548 shares in dell inc. (nyse:dell) bought by boston private wealth llc",dell (nyse:dell) pt lowered to $40.00,dell (nyse:dell) trading down 2.7% following analyst downgrade,,,,,,,,,,,,,,,,,,,,,
2020-03-19,1,michael dell tells spring break video coronavirus skeptics not to apply to work his companies,dell (nyse:dell) trading down 2.7% following analyst downgrade,,,,,,,,,,,,,,,,,,,,,,
2020-03-20,0,"dell med infectious disease chief talks social distancing, promising covid-19 treatments",,,,,,,,,,,,,,,,,,,,,,,
2020-03-23,1,dell (nyse:dell) pt lowered to $35.00 at nomura,"insider buying: dell inc. (nyse:dell) ceo buys $4,357,982.47 in stock",,,,,,,,,,,,,,,,,,,,,,
2020-03-24,1,"raymond james financial services advisors inc. purchases 1,294 shares of dell inc. (nyse:dell)",dell (nyse:dell) raised to hold at valuengine,,,,,,,,,,,,,,,,,,,,,,
2020-03-25,0,dell (nyse:dell) trading up 14.5%,,,,,,,,,,,,,,,,,,,,,,,
2020-03-26,1,dell pulls fiscal 2021 guidance,dell withdraws fiscal 2021 financial guidance due to coronavirus,dell withdraws annual forecast on coronavirus uncertainty,kovitz investment group partners llc sells 651 shares of dell inc. (nyse:dell),dell inc. (nyse:dell) shares acquired by amundi pioneer asset management inc.,,,,,,,,,,,,,,,,,,,
2020-03-27,0,guggenheim capital llc has $3.73 million holdings in dell inc. (nyse:dell),,,,,,,,,,,,,,,,,,,,,,,
2020-03-30,1,"dell technologies (dell) scraps fiscal 2021 view, shares fall",,,,,,,,,,,,,,,,,,,,,,,
2020-03-31,1,man group plc raises stake in dell inc. (nyse:dell),dell (nyse:dell) earns daily media sentiment rating of -2.00,,,,,,,,,,,,,,,,,,,,,,
2020-04-01,0,"engrave wealth partners llc acquires shares of 1,078 dell inc. (nyse:dell)",,,,,,,,,,,,,,,,,,,,,,,
2020-04-02,1,valuengine lowers dell (nyse:dell) to sell,,,,,,,,,,,,,,,,,,,,,,,
2020-04-03,0,dell technologies inc. announces pricing of offering of $2.25 billion of first lien notes,dell technologies inc. announces offering of first lien notes,connor clark & lunn investment management ltd. makes new investment in dell inc. (nyse:dell),bi asset management fondsmaeglerselskab a s boosts holdings in dell inc. (nyse:dell),,,,,,,,,,,,,,,,,,,,
2020-04-06,1,dell inc. (nyse:dell) shares sold by baird financial group inc.,,,,,,,,,,,,,,,,,,,,,,,
2020-04-07,0,ladenburg thalmann financial services inc. raises holdings in dell inc. (nyse:dell),dell inc. (nyse:dell) shares bought by ladenburg thalmann financial services inc.,norges bank buys new position in dell inc. (nyse:dell),"norges bank acquires shares of 1,628,676 dell inc. (nyse:dell)",,,,,,,,,,,,,,,,,,,,
2020-04-08,1,dell inc. (nyse:dell) stock holdings lifted by macquarie group ltd.,dell (nyse:dell) given new $39.00 price target at raymond james,raymond james lowers dell (nyse:dell) price target to $39.00,,,,,,,,,,,,,,,,,,,,,
2020-04-09,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-13,0,dell technologies larger than s&amp;p 500 component concho resources,"hp, dell among top pc sellers in q1",dell (nyse:dell) pt lowered to $50.00 at sanford c. bernstein,"monday&quot;s top analyst upgrades and downgrades: alibaba, apple, amex, brinker, caterpillar, chipotle, dell, halliburton, palo alto, starbucks, texas instruments, travelers and more",,,,,,,,,,,,,,,,,,,,
2020-04-14,1,dell (nyse:dell) given new $50.00 price target at sanford c. bernstein,dell (nyse:dell) rating lowered to neutral at goldman sachs group,,,,,,,,,,,,,,,,,,,,,,
2020-04-15,1,ifm investors pty ltd cuts holdings in dell inc. (nyse:dell),"& trust has $188,000 stake in dell inc. (nyse:dell)",goldman sachs group downgrades dell (nyse:dell) to neutral,,,,,,,,,,,,,,,,,,,,,
2020-04-16,1,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-17,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-20,1,p/e ratio insights for dell technologies,,,,,,,,,,,,,,,,,,,,,,,
2020-04-21,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-22,1,central trust co sells 334 shares of dell inc. (nyse:dell),,,,,,,,,,,,,,,,,,,,,,,
2020-04-23,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-24,1,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-27,1,dell technologies services goes to bat in the fight against covid-19,dell inc. (nyse:dell) stock holdings lowered by ls investment advisors llc,,,,,,,,,,,,,,,,,,,,,,
2020-04-28,0,culbertson a n & co. inc. sells 871 shares of dell inc. (nyse:dell),,,,,,,,,,,,,,,,,,,,,,,
2020-04-29,1,arp americas lp grows position in dell inc. (nyse:dell),"dell inc. (nyse:dell) given consensus rating of ""hold"" by analysts",,,,,,,,,,,,,,,,,,,,,,
2020-04-30,0,melissa dell wins the john bates clark medal,dell technologies announces storage portfolio fireside chat hosted by goldman sachs,,,,,,,,,,,,,,,,,,,,,,
2020-05-01,0,"dell (nyse:dell) earning positive media coverage, infotrie reports",,,,,,,,,,,,,,,,,,,,,,,
2020-05-04,1,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-05,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-06,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-07,1,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-08,1,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-11,1,robeco institutional asset management b.v. has $2.19 million stake in dell inc. (nyse:dell),,,,,,,,,,,,,,,,,,,,,,,
2020-05-12,0,"dell, nokia throw their support behind sonic ecosystem",dell technologies delivers the power of open source networking to help automate and simplify data centers,,,,,,,,,,,,,,,,,,,,,,
2020-05-13,0,"dell launches xps 15, xps 17 laptops",dell adds xps 17 to its skinny power-laptop lineup     - cnet,envestnet asset management inc. has $1.29 million stock holdings in dell inc. (nyse:dell),,,,,,,,,,,,,,,,,,,,,
2020-05-14,1,dell technologies to hold conference call may 28 to discuss first quarter fiscal 2021 financial results,"women of influence: nicole gibson, dell",,,,,,,,,,,,,,,,,,,,,,
2020-05-15,1,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-18,1,"noteworthy monday option activity: gern, cvm, dell",dell&quot;s newly redesigned xps 15 laptop is a great alternative for windows users who want a mac-like experience - here&quot;s what to know before you buy,nissay asset management corp japan adv buys 698 shares of dell inc. (nyse:dell),arizona state retirement system makes new investment in dell inc. (nyse:dell),,,,,,,,,,,,,,,,,,,,
2020-05-19,1,dell technologies helps professionals stay productive anywhere with world&quot;s most intelligent and secure business pcs,victory capital management inc. decreases stock position in dell inc. (nyse:dell),"janney montgomery scott llc sells 2,240 shares of dell inc. (nyse:dell)",,,,,,,,,,,,,,,,,,,,,
2020-05-20,1,dell technologies cloud and google cloud launch hybrid storage solution,,,,,,,,,,,,,,,,,,,,,,,
2020-05-21,0,dell slashes employee benefits to preserve cash during pandemic,earnings preview: dell technologies (dell) q1 earnings expected to decline,dell (dell) set to announce quarterly earnings on thursday,,,,,,,,,,,,,,,,,,,,,
2020-05-22,0,dell medical school graduates first class - see where the new docs are headed for residency,dell suspends employee benefits to preserve cash,"new york state common retirement fund acquires 7,000 shares of dell inc. (nyse:dell)","zurcher kantonalbank zurich cantonalbank buys 3,432 shares of dell inc. (nyse:dell)",ae wealth management llc sells 504 shares of dell inc. (nyse:dell),dell inc. (nyse:dell) shares sold by fifth third bancorp,,,,,,,,,,,,,,,,,,
2020-05-26,0,empirical financial services llc d.b.a. empirical wealth management grows holdings in dell inc. (nyse:dell),"mackay shields llc sells 175,389 shares of dell inc. (nyse:dell)","oppenheimer asset management inc. purchases shares of 14,851 dell inc. (nyse:dell)",,,,,,,,,,,,,,,,,,,,,
2020-05-27,1,"noteworthy wednesday option activity: camp, pypl, dell",fjarde ap fonden fourth swedish national pension fund boosts holdings in dell inc. (nyse:dell),"richard j. rothberg sells 1,000 shares of dell inc. (nyse:dell) stock","first allied advisory services inc. sells 8,306 shares of dell inc. (nyse:dell)","dell inc. (nyse:dell) insider steven h. price sells 39,799 shares",dell (nyse:dell) pt lowered to $52.00,,,,,,,,,,,,,,,,,,
2020-05-28,1,"dell reports steady sales, profit on corporate pc demand",dell technologies (dell) q1 earnings and revenues top estimates,dell technologies hurdles first-quarter earnings target,dell beats revenue estimates as remote working lifts workstation demand,"dell says covid-19 helped sales in some sectors, stock jumps more than 7% after earnings",dell technologies inc. 2021 q1 - results - earnings call presentation,"dell q1 beats on strong orders in banking, government, health care","dell technologies eps beats by $0.40, beats on revenue",innovation and resiliency drive dell technologies&quot; first quarter fiscal 2021 financial results,dell technologies to present at the bank of america 2020 global technology conference,"richard j. rothberg sells 1,000 shares of dell inc. (nyse:dell) stock","dell inc. (nyse:dell) insider sells $1,790,955.00 in stock",,,,,,,,,,,,
2020-05-29,1,dell technologies has more room to run,story stocks: dell outshines key rival as company navigated bumpy supply chain more effectively (dell),why dell stock jumped today,hp and dell at least managed to top estimates,dell (nyse:dell) given new $50.00 price target at morgan stanley,dell crosses above key moving average level,stock alert: dell technologies gains 6%,dell earnings top estimates on strong demand,"top analyst upgrades and downgrades: alexion, ciena, dell, dollar general, dollar tree, marvell, ppl, republic services, tesla, vmware, zscaler and more",martingale asset management l p has $2.75 million stake in dell inc. (nyse:dell),dell (nyse:dell) upgraded at zacks investment research,zacks investment research upgrades dell (nyse:dell) to hold,dell suspends share repurchase program,dell technologies&quot; (dell) ceo management on q1 2021 results - earnings call transcript,,,,,,,,,,
2020-06-01,1,dell technologies inc. (dell): hedge funds taking some chips off the table,nomura instinet boosts dell (nyse:dell) price target to $55.00,dell (nyse:dell) given new $50.00 price target at morgan stanley,royal bank of canada boosts dell (nyse:dell) price target to $48.00,,,,,,,,,,,,,,,,,,,,
2020-06-02,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-03,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-04,1,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-05,1,dell vs. now: which stock is the better value option?,july 2021 options now available for dell technologies (dell),"ensign peak advisors inc sells 99,368 shares of dell inc. (nyse:dell)","dell technologies&quot; shares march higher, can it continue?",dell (nyse:dell) receives media sentiment score of 0.58,,,,,,,,,,,,,,,,,,,
2020-06-08,1,dell technologies vet named vonage&quot;s new chief executive officer,dell: a surprise winner in the covid-19 era,"dell technologies: valuation remains attractive, but secular risks bear watching",dell (nyse:dell) lowered to strong sell at valuengine,,,,,,,,,,,,,,,,,,,,
2020-06-09,0,dell inc. (nyse:dell) position trimmed by primecap management co. ca,dell technologies announces investor call hosted by evercore isi,,,,,,,,,,,,,,,,,,,,,,
2020-06-10,0,"vident investment advisory llc sells 39,661 shares of dell inc. (nyse:dell)",zacks investment research downgrades dell (nyse:dell) to hold,,,,,,,,,,,,,,,,,,,,,,
2020-06-11,0,ryan sanders baseball to host collegiate games- and much more - at dell diamond this summer,"fdx advisors inc. acquires 3,361 shares of dell inc. (nyse:dell)",dell technologies announces investor call hosted by bernstein,,,,,,,,,,,,,,,,,,,,,
2020-06-12,0,dell inc. (nyse:dell) shares sold by jpmorgan chase & co.,,,,,,,,,,,,,,,,,,,,,,,
2020-06-15,1,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-16,0,dell inc. (nyse:dell) position trimmed by mackenzie financial corp,dell technologies sets new standard for unlocking the potential of data with powerscale storage,"us bancorp de sells 1,672 shares of dell inc. (nyse:dell)",,,,,,,,,,,,,,,,,,,,,
2020-06-17,0,dell technologies announces investor call hosted by morgan stanley,dell inc. (nyse:dell) shares purchased by gamco investors inc. et al,aviva plc purchases 688 shares of dell inc. (nyse:dell),"m&t bank corp sells 1,145 shares of dell inc. (nyse:dell)",dell inc. (nyse:dell) shares bought by parametric portfolio associates llc,,,,,,,,,,,,,,,,,,,
2020-06-18,1,"dell inc. (nyse:dell) given average recommendation of ""hold"" by analysts",,,,,,,,,,,,,,,,,,,,,,,
2020-06-19,1,"noteworthy friday option activity: svmk, dell, azo","gabelli funds llc buys 9,000 shares of dell inc. (nyse:dell)",dell inc. (nyse:dell) shares sold by deutsche bank ag,victory capital management inc. lowers holdings in dell inc. (nyse:dell),,,,,,,,,,,,,,,,,,,,
2020-06-22,0,two sigma advisers lp decreases stock position in dell inc. (nyse:dell),dell technologies brings it infrastructure and cloud capabilities to edge environments,janus henderson group plc has $3.37 million stake in dell inc. (nyse:dell),principal financial group inc. increases holdings in dell inc. (nyse:dell),,,,,,,,,,,,,,,,,,,,
2020-06-23,1,dell plots $50 billion more of financial finessing,"dell, vmware stocks surge on report of plans for strategic shakeup",dell technologies inc. (dell) management presents at special call hosted by morgan stanley (transcript),,,,,,,,,,,,,,,,,,,,,
2020-06-24,0,dell technologies news: dell stock surges 8% on vmware spinoff talk,"the ratings game: dell, vmware stocks rally as resolution to ownership &quot;soap opera&quot; gets a new teaser trailer",vmware stock rises on report dell may spin off its stake,stock alert: dell technologies up 9% on exploring options for vmware stake,"thinking about trading options or stock in dell technologies, aurora cannabis, plug power, american airlines, or royal caribbean cruises?","dell, vmware spike in pre-market on report dell is mulling spinoff of $50b stake",dell stock price surges 15% on report of plans for strategic shakeup with vmware,dell technologies high performance computing customers drive breakthroughs for global impact,dell shares jump as report says company considering options for its 81% stake in vmware,,,,,,,,,,,,,,,
2020-06-25,0,bank of america reaffirms buy rating for dell (nyse:dell),dell target of unusually high options trading (nyse:dell),,,,,,,,,,,,,,,,,,,,,,
2020-06-26,1,"31,223 shares in dell inc. (nyse:dell) bought by maverick capital ltd.",dell (nyse:dell) pt raised to $70.00 at wells fargo & co,dell (nyse:dell) receives daily news sentiment score of 1.50,dell (nyse:dell) shares gap up  following analyst upgrade,,,,,,,,,,,,,,,,,,,,
2020-06-29,1,dell technologies to explore spin-off of its majority stake in vmware to its shareholders,we&quot;re not counting on dell technologies (nyse:dell) to sustain its statutory profitability,,,,,,,,,,,,,,,,,,,,,,
2020-06-30,1,schroder investment management group buys new stake in dell inc. (nyse:dell),dell (nyse:dell) pt raised to $60.00,dell (nyse:dell) price target raised to $60.00 at deutsche bank,,,,,,,,,,,,,,,,,,,,,
2020-07-01,0,tower research capital llc trc decreases holdings in dell inc. (nyse:dell),morgan stanley cuts position in dell inc. (nyse:dell),"wellington management group llp has $361,000 holdings in dell inc. (nyse:dell)",,,,,,,,,,,,,,,,,,,,,
2020-07-02,0,,,,,,,,,,,,,,,,,,,,,,,,
